time_s,no_unit_none,temperature_degC,temperature_degC_1,temperature_degC_2,temperature_degC_3,temperature_degC_4,temperature_degC_5,amperage_A,power_W,velocity_km_h,no_unit_none_1,temperature_degC_6,volflow_l_min
0.0,3000,-10,-10,-10,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.5,3000,-10,-10,-10,-9.999999815,-9.999999783,-9.999999848,0.0,0.0,0.0,2,15.00000019,10.84621965
1.0,3000,-10,-10,-10,-9.999999819,-9.999999787,-9.999999851,0.0,0.0,0.0,2,15.00000018,10.84621965
1.5,3000,-10,-10,-10,-9.999999823,-9.999999792,-9.999999855,0.0,0.0,0.0,2,15.00000018,10.84621965
2.0,3000,-10,-10,-10,-9.999999827,-9.999999796,-9.999999858,0.0,0.0,0.0,2,15.00000017,10.84621965
2.5,3000,-10,-10,-10,-9.99999983,-9.999999799,-9.999999861,0.0,0.0,0.0,2,15.00000017,10.84621965
3.0,3000,-10,-10,-10,-9.999999833,-9.999999803,-9.999999864,0.0,0.0,0.0,2,15.00000017,10.84621965
3.5,3000,-10,-10,-10,-9.999999837,-9.999999807,-9.999999867,0.0,0.0,0.0,2,15.00000016,10.84621965
4.0,3000,-10,-10,-10,-9.99999984,-9.99999981,-9.999999869,0.0,0.0,0.0,2,15.00000016,10.84621965
4.5,3000,-10,-10,-10,-9.999999843,-9.999999813,-9.999999872,0.0,0.0,0.0,2,15.00000016,10.84621965
5.0,3000,-10,-10,-10,-9.999999846,-9.999999816,-9.999999875,0.0,0.0,0.0,2,15.00000015,10.84621965
5.5,3000,-10,-10,-10,-9.999999358,-9.999999243,-9.999999472,-0.7247547,-333.3331353,0.0,2,15.00000055,10.84621965
6.0,3000,-10,-10,-10,-9.999998396,-9.99999811,-9.999998679,-0.724758944,-333.3331416,0.0,2,15.00000151,10.84621965
6.5,3000,-10,-10,-10,-9.999997454,-9.999996998,-9.999997905,-0.724763054,-333.3331477,0.0,2,15.00000245,10.84621965
7.0,3000,-10,-10,-10,-9.999996531,-9.999995905,-9.999997148,-0.724767032,-333.3331536,0.0,2,15.00000338,10.84621965
7.5,3000,-10,-10,-10,-9.999995626,-9.99999483,-9.999996407,-0.724770884,-333.3331593,0.0,2,15.00000429,10.84621965
8.0,3000,-10,-10,-10,-9.999994738,-9.999993768,-9.999995682,-0.724774613,-333.3331648,0.0,2,15.00000519,10.84621965
8.5,3000,-10,-10,-10,-9.999993866,-9.99999272,-9.999994972,-0.724778224,-333.3331702,0.0,2,15.00000607,10.84621965
9.0,3000,-10,-10,-10,-9.999993009,-9.99999168,-9.999994277,-0.724781721,-333.3331753,0.0,2,15.00000694,10.84621965
9.5,3000,-10,-10,-10,-9.999992165,-9.999990647,-9.999993595,-0.724785107,-333.3331803,0.0,2,15.00000779,10.84621965
10.0,3000,-10,-10,-10,-9.999991335,-9.999989615,-9.999992928,-0.724788386,-333.3331852,0.0,2,15.00000864,10.84621965
10.5,3000,-10,-10,-10,-9.999990517,-9.999988581,-9.999992273,-0.724791562,-333.3331898,0.0,2,15.00000949,10.84621965
11.0,3000,-10,-10,-10,-9.999989709,-9.99998754,-9.999991632,-0.724794638,-333.3331943,0.0,2,15.00001033,10.84621965
11.5,3000,-10,-10,-10,-9.999988559,-9.999986074,-9.999990714,-1.053376459,-484.4005022,0.075983954,2,15.00001142,10.84621965
12.0,3000,-10,-10,-10,-9.99998666,-9.999983697,-9.999989184,-1.105193585,-508.2180048,0.176019494,2,15.00001336,10.84621965
12.5,3000,-10,-10,-10,-9.999980778,-9.99997661,-9.999984373,-2.508922413,-1153.243801,0.774549959,2,15.00001846,10.84621965
13.0,3000,-10,-10,-10,-9.999966712,-9.99995986,-9.999972825,-3.368533361,-1547.962091,1.52530585,2,15.00003189,10.84621964
13.5,3000,-10,-10,-10,-9.999917608,-9.999901905,-9.999932369,-9.074114631,-4162.988395,3.130695527,2,15.00007151,10.84621963
14.0,3000,-10,-10,-10,-9.999714984,-9.999663514,-9.999765266,-13.04213728,-5976.217517,5.129398137,2,15.0002565,10.84621958
14.5,3000,-10,-10,-10,-9.999374738,-9.999263095,-9.999484899,-18.77054049,-8586.229916,7.183803623,2,15.00057332,10.8462195
15.0,3000,-10,-10,-10,-9.998682488,-9.99844864,-9.998914505,-23.25279605,-10621.3881,9.462101755,2,15.00123472,10.84621932
15.5,3000,-10,-10,-10,-9.997851647,-9.99747015,-9.998230901,-19.62096195,-8970.287501,11.23762561,2,15.00208816,10.84621909
16.0,3000,-10,-10,-10,-9.997154961,-9.996648073,-9.997659127,-21.94464984,-10024.53944,12.85210289,2,15.00276941,10.84621891
16.5,3000,-10,-10,-10,-9.996156277,-9.995470438,-9.996838835,-28.74476521,-13103.19225,14.69635616,2,15.00371207,10.84621866
17.0,3000,-10,-10,-10,-9.994646245,-9.993690749,-9.995597817,-32.01143041,-14575.59285,16.61284205,2,15.00518978,10.84621827
17.5,3000,-10,-10,-10,-9.992363634,-9.991001734,-9.99372087,-44.78201576,-20310.61485,18.91289431,2,15.00731249,10.8462177
18.0,3000,-10,-10,-10,-9.988660066,-9.986640248,-9.990674377,-50.01196501,-22641.04583,21.3339056,2,15.01093509,10.84621674
18.5,3000,-10,-10,-10,-9.984456202,-9.98168557,-9.987220369,-49.42253552,-22370.21696,23.56070267,2,15.0151515,10.84621562
19.0,3000,-10,-10,-10,-9.980117618,-9.976567181,-9.983660506,-53.69913947,-24267.59449,25.72478539,2,15.01941979,10.84621449
19.5,3000,-10,-10,-10,-9.976866306,-9.972719405,-9.981004441,-22.55401546,-10281.33129,26.8098655,2,15.023092,10.84621352
