line,model,anomaly,num_of_results,search_strategy,reason
149929,mistral,False,1,mmr,"Anomaly: no,
 Anomaly-Rating: 100,
 Explanation: The test measurements are within the normal operating range provided in the context."
149930,mistral,False,1,mmr,"Anomaly: no,
 Anomaly-Rating: 100,
 Explanation: The test measurements are within the normal operating range provided in the context."
149931,mistral,False,1,mmr,"Anomaly: no,
 Anomaly-Rating: 100,
 Explanation: The test measurements are within the normal operating range provided in the context."
149932,mistral,False,1,mmr,"Anomaly: no,
 Anomaly-Rating: 100,
 Explanation: The test measurements are within the normal operating range provided in the context."
149933,mistral,False,1,mmr,"Anomaly: no,
 Anomaly-Rating: 100,
 Explanation: The test measurements are within the normal operating range provided in the context."
149934,mistral,False,1,mmr,"Anomaly: no,
 Anomaly-Rating: 100,
 Explanation: The test measurements are within the normal operating range provided in the context."
149935,mistral,False,1,mmr,"Anomaly: no,
 Anomaly-Rating: 100,
 Explanation: The test measurements are within the normal operating range provided in the context."
149936,mistral,False,1,mmr,"Anomaly: no,
 Anomaly-Rating: 100,
 Explanation: The test measurements are within the normal operating range provided in the context."
149937,mistral,False,1,mmr,"Anomaly: no,
 Anomaly-Rating: 100,
 Explanation: The test measurements are within the normal operating range provided in the context."
149938,mistral,False,1,mmr,"Anomaly: no,
 Anomaly-Rating: 100,
 Explanation: The test measurements are within the normal operating range provided in the context."
149939,mistral,False,1,mmr,"Anomaly: no,
 Anomaly-Rating: 100,
 Explanation: The test measurements are within the normal operating range provided in the context."
149940,mistral,False,1,mmr,"Anomaly: no,
 Anomaly-Rating: 100,
 Explanation: The test measurements are within the normal operating range provided in the context."
149941,mistral,False,1,mmr,"Anomaly: no,
 Anomaly-Rating: 100,
 Explanation: The test measurements are within the normal operating range provided in the context."
149942,mistral,False,1,mmr,"Anomaly: no,
 Anomaly-Rating: 100,
 Explanation: The test measurements are within the normal operating range provided in the context."
149943,mistral,False,1,mmr,"Anomaly: no,
 Anomaly-Rating: 100,
 Explanation: The test measurements are within the normal operating range provided in the context."
149944,mistral,False,1,mmr,"Anomaly: no,
 Anomaly-Rating: 100,
 Explanation: The test measurements are within the normal operating range provided in the context."
149945,mistral,False,1,mmr,"Anomaly: no,
 Anomaly-Rating: 100,
 Explanation: The test measurements are within the normal operating range provided in the context."
149946,mistral,False,1,mmr,"Anomaly: no,
 Anomaly-Rating: 100,
 Explanation: The test measurements are within the normal operating range provided in the context."
149947,mistral,False,1,mmr,"Anomaly: no,
 Anomaly-Rating: 100,
 Explanation: The test measurements are within the normal operating range provided in the context."
149948,mistral,False,1,mmr,"Anomaly: no,
 Anomaly-Rating: 100,
 Explanation: The test measurements are within the normal operating range provided in the context."
149949,mistral,False,1,mmr,"Anomaly: no,
 Anomaly-Rating: 100,
 Explanation: The test measurements are within the normal operating range provided in the context."
149950,mistral,False,1,mmr,"Anomaly: no,
 Anomaly-Rating: 100,
 Explanation: The test measurements are within the normal operating range provided in the context."
